Publisher	Series	Title	ERF Level	New GSL 95%[Types Needed]	New GSL 98%[Types Needed]	NGSL 95%[Types Needed]	NGSL 98%[Types Needed]	SEWK-J 95%[Types Needed]	SEWK-J 98%[Types Needed]	BNC/COCA 95%[Types Needed]	BNC/COCA 98%[Types Needed]
Abax
	Global Issues Narratives
		He Knows Too Much	5	Off-List[239]	Off-List[863]	Off-List[4]	Off-List[372]	"5,324"	"13,407"	3	5
		High Life Low Life	4	Off-List[2]	Off-List[124]	"1,783"	Off-List[12]	"11,531"	"15,890"	2	3
		Hotel Casanova	2	1864	Off-List[11]	"1,329"	Off-List[1]	"16,613"	"16,680"	2	4
		House by the Sea The	3	1788	Off-List[19]	"1,240"	"2,139"	"2,342"	"12,602"	1	2
		How I Met Myself	3	2006	Off-List[35]	"1,383"	Off-List[2]	"1,717"	"7,563"	1	3
		In the House	4	2456	Off-List[87]	"1,597"	Off-List[4]	"3,108"	"13,836"	2	2
		In the Shadow of the Mountain	5	Off-List[7]	Off-List[193]	"1,678"	Off-List[11]	"3,621"	"12,772"	2	3
		Inspector Logan	2	1642	Off-List[7]	"1,250"	Off-List[1]	"13,003"	"14,703"	1	2
		Ironing Man The	3	2207	Off-List[44]	"1,613"	Off-List[2]	"2,492"	"11,680"	2	6
		John Doe	2	1271	Off-List[1]	988	"1,861"	"5,874"	"13,944"	1	2
		Jojo's Story	2	1798	Off-List[10]	"1,376"	"2,280"	"1,410"	"6,404"	1	2
		Jungle Love	5	Off-List[33]	Off-List[231]	"2,089"	Off-List[34]	"4,113"	"13,007"	2	3
		Just Like a Movie	2	1842	Off-List[9]	"1,093"	"2,777"	"4,121"	"15,883"	1	2
		Lady in White The	4	2233	Off-List[65]	"1,512"	Off-List[2]	"2,492"	"5,874"	1	2
		Lahti File The	3	2456	Off-List[74]	"1,608"	Off-List[5]	"1,937"	"4,253"	1	3
		Let Me Out!	1	1970	Off-List[2]	"1,438"	Off-List[1]	"5,874"	"17,299"	1	4
		Logan's Choice	2	1970	Off-List[20]	"1,200"	"2,654"	"11,622"	"14,703"	1	2
		Man from Nowhere The	2	2373	Off-List[23]	"1,865"	Off-List[2]	"1,809"	"4,601"	2	2
		Matter of Chance A	4	Off-List[8]	Off-List[131]	"1,825"	Off-List[13]	"2,460"	"8,010"	2	3
		Murder by Art	5	Off-List[13]	Off-List[115]	"2,617"	Off-List[20]	"2,631"	"13,836"	2	4
		Murder Maker	5	Off-List[113]	Off-List[479]	"2,529"	Off-List[116]	"3,903"	"13,543"	2	4
		New Zealand File The	2	1855	Off-List[21]	"1,329"	"2,634"	"1,361"	"3,897"	1	2
		Next Door To Love	2	1286	Off-List[1]	988	"1,708"	"2,988"	"16,581"	1	4
		No Place to Hide	3	2117	Off-List[66]	"1,608"	Off-List[2]	"2,988"	"11,531"	2	3
		Not Above the Law	3	2060	Off-List[61]	"1,436"	Off-List[1]	"3,820"	"14,973"	2	7
		Nothing but the Truth	4	Off-List[20]	Off-List[164]	"1,912"	Off-List[16]	"11,452"	"15,064"	2	3
		One Day	2	1682	Off-List[19]	"1,273"	Off-List[1]	"7,349"	"14,721"	1	2
		Parallel	2	1391	Off-List[1]	"1,025"	"2,169"	"1,981"	"3,721"	2	2
		Penang FileThe 	1	1541	Off-List[4]	"1,198"	"2,361"	"13,003"	"22,167"	1	2
		Picture to Remember A	2	2111	Off-List[17]	"1,330"	"2,796"	"2,728"	"19,012"	1	3
		Puzzle for Logan A	3	2017	Off-List[37]	"1,414"	"2,541"	"5,679"	"14,703"	1	2
		Solo Saxophone	5	Off-List[47]	Off-List[332]	"2,154"	Off-List[47]	"2,803"	"9,385"	2	3
		Staying Together	4	Off-List[7]	Off-List[135]	"1,679"	Off-List[12]	"2,098"	"8,907"	1	3
		Strong Medicine	3	2111	Off-List[40]	"1,590"	Off-List[4]	"2,851"	"14,982"	2	3
		Tales of the Supernatural	3	2476	Off-List[66]	"1,410"	Off-List[4]	"2,890"	"11,918"	1	3
		Tangled Web A	5	Off-List[37]	Off-List[308]	"2,204"	Off-List[60]	"3,653"	"13,820"	2	4
		This Time it's Personal	5	Off-List[105]	Off-List[509]	"2,689"	Off-List[130]	"5,958"	"15,450"	2	4
		Three Tomorrows	2	1734	Off-List[6]	"1,247"	"2,361"	"1,459"	"5,090"	1	2
